"","model","gridID","n_points","refit","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
"505","nig_indep",372,226,FALSE,-0.116174653297613,-0.113162421393746,0.0885602104243273,0.485306757500487,0.707996379690152,0.206372414506499,0,0.0561333078819063,1.65295727849847,2.47652732261497,0.0301506483884164,0.1339199311875,NA,4.73783818922385,56.97,"CV_done",TRUE,1798,FALSE
"506","nig_indep",373,329,FALSE,-0.0932030321795049,-0.154731170369502,0.0860414153534412,0.537354858824709,0.569277683265109,0.276452999037146,0,-0.0497348685504087,1.26289899635913,2.94269143159714,0.0400728296295783,0.159769699767624,NA,19.0452249677314,56.97,"CV_done",TRUE,1282,TRUE
"507","nig_indep",374,505,FALSE,0.00016396697353416,-0.0608570912045579,0.0679804848198394,0.474025516473363,0.514125686412187,0.104660672607584,0,0.0281953641560666,1.12088294347998,1.40935774598246,0.0220774642338214,0.145964968618586,NA,2.47886593097614,56.97,"CV_done",TRUE,1789,FALSE
"508","nig_indep",375,413,FALSE,-0.0694049177182301,-0.0797775724770751,0.100659478749766,0.901442119645802,0.440616248622045,0.544020709344931,0,0.872431231081657,1.03214844514778,1.37150170632504,0.0239258133380483,0.153696448498336,NA,2.31778031932535,56.97,"CV_done",TRUE,1757,TRUE
"509","nig_indep",376,436,FALSE,-0.215527137382773,-0.105579275071763,0.130301193322511,1.1968504641214,0.920846687587885,0.898305966639115,0,1.04932517171775,1.33099018235996,1.8165421832956,0.0242315787291937,0.220027537052428,NA,8.74460285729832,56.97,"CV_done",TRUE,1795,TRUE
"510","nig_indep",377,566,FALSE,0.0618100937889188,-0.135244861973147,0.0996757495494979,0.973211792383324,0.857736488900526,0.579389912462411,0,1.80571359216768,1.57506520377286,1.85407021045628,0.0333119073919106,0.279309879052695,NA,2.48466329994853,56.97,"CV_done",TRUE,1795,TRUE
"511","nig_indep",378,439,FALSE,0.00873949226163057,-0.117417652876133,0.0908148964897904,0.796066936145332,0.525983104687666,0.676592853613045,0,1.64865237483939,1.4422760607966,1.5739741468698,0.0238811489898569,0.174127775422632,NA,3.8833160147264,56.97,"CV_done",TRUE,1762,TRUE
"512","nig_indep",379,310,FALSE,0.144216139242278,-0.126371755011542,0.106709087757127,0.873153518023025,0.906712873665544,0.70503277785031,0,0.574285263539106,1.81558495800156,1.63061346684271,0.0255498990761029,0.169061105530685,NA,2.06085557947556,56.97,"CV_done",TRUE,1790,TRUE
"513","nig_indep",380,387,FALSE,0.0381463566536781,-0.116401768661701,0.0758576148215123,0.65672897810456,0.746314013338897,0.439526526640544,0,0.614072429806621,1.36716886931757,1.37869042310634,0.0199010568557463,0.134119540230736,NA,4.98318463936448,56.97,"CV_done",TRUE,1798,FALSE
"514","nig_indep",381,359,FALSE,-0.0890603521953864,-0.0918762458040884,0.0476727472395727,0.464126715057667,0.93279395847189,0.869535713252716,0,0.784343676447633,1.09623261388317,1.32855917961477,0.0116321171535047,0.103990271769192,NA,14.7322274479601,56.97,"CV_done",TRUE,1791,TRUE
"515","nig_indep",382,382,FALSE,-0.0603518179148688,-0.0291348087471781,0.0517002612874824,0.474639442704911,0.553637950064648,0.425781246509296,0,0.314831796162194,1.12927728826022,1.29907762061058,0.0256746916291975,0.14619908974755,NA,4.82963450171329,56.97,"CV_done",TRUE,1803,FALSE
"516","nig_indep",383,371,FALSE,-0.20558536536323,-0.194329985426909,0.0850968380798859,0.649499752663,1.03507810756623,0.64332298645827,0,0.135184526029925,1.45221724435213,1.77332676609903,0.0314672458653202,0.230622848644515,NA,4.51805249884173,56.97,"CV_done",TRUE,1784,FALSE
"517","nig_indep",384,312,FALSE,-0.204090316348279,-0.13415536393056,0.0720048330219284,0.491599114026905,0.634816296198107,0.31034869297876,0,-0.0138136611907929,1.65561157028401,2.03067093390758,0.0216339773326705,0.151640531649136,NA,4.7930909653146,56.97,"CV_done",TRUE,1801,FALSE
"518","nig_indep",385,215,FALSE,-0.0372652096575989,-0.120277219100854,0.0481321384374016,0.345294563273344,0.72545644818734,0.411676066558692,0,-0.192288877365927,1.31579379074536,2.4350420172626,0.0170437744812896,0.0830740754197725,NA,2.24996848854754,56.97,"CV_done",TRUE,1802,TRUE
