"presLevel","model","gridID","refit","n_points","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
1000,"nig_indep",131,TRUE,282,-0.0125799522531614,0.172013172103637,0.0125444833465698,0.120597493386957,0.268640166206889,1.23720938929019,0,-0.217146128079608,0.851369485229448,1.19129920786889,0.00654396143566081,0.0571875896520515,0,7.63236365199089,0,"CV_done",TRUE,1225,TRUE
1000,"nig_indep",132,TRUE,353,0.0714058617463947,0.179719903885395,0.0116617255400329,0.131850905263405,0.416413964427379,0.989252709793974,0,-0.270989318866579,1.90760769826224,1.08317506884192,0.00596398164545818,0.0618282178638202,0,3.5697661873036,0,"CV_done",TRUE,1342,FALSE
1000,"nig_indep",133,TRUE,631,0.0325468079928433,0.213560071830572,0.0120253115899769,0.138408235230393,0.286796682556913,1.2939264363206,0,-0.200099039246198,1.59365071042956,1.09376585727405,0.00561748393602314,0.0610160118913908,0,20.9199419042799,0,"CV_done",TRUE,1706,TRUE
1000,"nig_indep",134,TRUE,326,0.0539010114730896,0.0678461771485086,0.00974161683447732,0.132502610963893,0.415377136617498,1.24285958972817,0,-0.164645361856044,1.32967539192683,1.13674208978996,0.00553000624698427,0.0602727460561615,0,1.78830249793,0,"CV_done",TRUE,1501,TRUE
1000,"nig_indep",135,TRUE,278,-0.0529781326561601,0.182724065149328,0.00759890872142356,0.129221558592058,0.772998741419654,0.786238589517318,0,-0.17612545987598,0.963738575273711,1.38080424018357,0.00395234665912719,0.0452132851189935,0,3.59675876425372,0,"CV_done",TRUE,1088,FALSE
1000,"nig_indep",136,TRUE,250,0.0477607723660747,0.20103071934014,0.0126783979851797,0.110776410157613,1.53292452183862,1.42383369489183,0,-0.250783596621682,5.05180869633077,1.39301037379856,0.00291073608875324,0.0417780521103403,0,4.88987503714032,0,"CV_done",TRUE,1185,TRUE
1000,"nig_indep",137,TRUE,241,0.0727288747837478,0.18405442738571,0.00848406543722349,0.121601958716781,0.719450844289559,2.75992462579744,0,-0.466348320243422,0.94165160533914,1.48477024695294,0.00272037165745973,0.0466883504990157,0,3.57413641447822,0,"CV_done",TRUE,1109,FALSE
1000,"nig_indep",138,TRUE,151,0.0580316158134089,-0.0694433783808864,0.0156234312918897,0.699625220053626,0.0619628459816206,0.244590682773524,0,0.673557963155235,3.01867524163615,4.40683422328947,0.00207480660774244,0.0624171331828828,0,3.74217581378089,0,"CV_done",TRUE,682,TRUE
1000,"nig_indep",139,TRUE,209,-0.0277706721250248,0.328543846738016,0.0145794659440155,0.27391177931641,0.553854409386333,0.834855174575941,0,-1.37569987782684,0.987216339506597,1.50910675558152,0.00311752618659996,0.0888271842910416,0,3.59026024459413,0,"CV_done",TRUE,758,FALSE
1000,"nig_indep",140,TRUE,163,0.0591684118469833,0.228707299979949,0.0213426579683113,0.431371589968185,0.243601946979866,0.482932095209779,0,0.238660782830674,1.45184390372823,1.51107921557519,0.00563490081672453,0.120837846669692,0,1.83129375100136,0,"CV_done",TRUE,915,TRUE
1000,"nig_indep",141,TRUE,243,0.0340148067890017,0.104064884636775,0.0352345205924262,0.398270948724961,0.277886391396905,0.366165620265026,0,0.212542318617743,2.28113691732486,1.38771463825163,0.0086747996848844,0.134434671340994,0,5.56430721210109,0,"CV_done",TRUE,1089,TRUE
1000,"nig_indep",142,TRUE,325,0.00535306347184846,0.0405731177249247,0.0410066949614193,0.266152869555411,0.389647536425627,0.300094981421366,0,0.318383962871151,1.88898119225981,1.3369434769171,0.0109627550310515,0.0850031050240224,0,7.62105703738001,0,"CV_done",TRUE,1378,TRUE
1000,"nig_indep",143,TRUE,415,0.07681371031091,0.0426452374498857,0.0386390343951646,0.192456547268063,0.534143381080095,0.294431570865655,0,0.736507630895751,1.58155816149764,1.55171954705433,0.0119942272766562,0.0766238244263971,0,2.14317690392335,0,"CV_done",TRUE,1565,TRUE
1000,"nig_indep",144,TRUE,477,0.14034517372332,-0.156369317948048,0.0368836832280055,0.187986566245651,0.722674641880554,1.23542868451964,0,1.37958336179535,1.33019204937378,1.78703153637121,0.0101256684160678,0.0782639851117588,0,1.79808879507913,0,"CV_done",TRUE,1549,TRUE
1000,"nig_indep",145,TRUE,520,0.0294003003867176,0.0230645488831157,0.0631152993616213,0.276290014361475,0.0930228484819793,1.17735976806657,0,2.37126129821019,1.89099014904902,2.04419842771673,0.00969925331572483,0.0683407185470099,0,5.22128780742486,0,"CV_done",TRUE,1944,TRUE
1000,"nig_indep",146,TRUE,327,0.0200784102792739,-0.044680195299023,0.0779647730027383,0.236312467152529,0.315973008233279,0.698229115469639,0,2.15201570497997,4.38631769500871,2.34942964729978,0.0126119691041895,0.0792179023013189,0,10.0366381106774,0,"CV_done",TRUE,1321,TRUE
1000,"nig_indep",152,TRUE,153,0.195251604148872,-0.880734416724204,0.0314038542516805,0.497310192456643,0.294159617798314,4.8780443609433,0,3.47788012232395,0.849467764990375,2.2087889100271,0.0675011555432846,0.250366998883838,0,4.09600122610728,0,"CV_done",TRUE,584,TRUE
1000,"nig_indep",153,TRUE,452,0.0353562039074775,-0.174842034617089,0.0601684699392333,0.567934552134579,0.0366992935419803,2.78666511436411,0,2.80510964562043,1.21169906490949,0.553127078646313,0.0294198032572676,0.165656494967671,0,4.418252577583,0,"CV_done",TRUE,1640,TRUE
1000,"nig_indep",154,TRUE,592,0.0392089161912428,-0.0500046115643331,0.0623402409386167,0.352335538347557,0.544241215248122,0.835928079854426,0,3.76339656201969,2.78285791521857,2.76122916220289,0.0113915228011395,0.0914169617061092,0,1.73526668945948,0,"CV_done",TRUE,1835,TRUE
1000,"nig_indep",155,TRUE,130,0.0552726311571575,-0.0163001077586579,0.0289848128469392,0.221237181519708,0.236426143733184,0.847951915041954,0,1.7651422014005,1.46297139801506,2.11654844469062,0.00924274134167123,0.0950822134634609,0,1.18026935682804,0,"CV_done",TRUE,1478,TRUE
1000,"nig_indep",156,TRUE,842,0.238795228354453,-0.108728041656931,0.0130559824401745,0.212038390904734,0.936763775993928,0.885795800775696,0,1.80759491488934,1.83997552396659,1.5546248240898,0.00388431848249386,0.0790108982344984,0,3.11177555610736,0,"CV_done",TRUE,1847,TRUE
1000,"nig_indep",159,TRUE,191,-0.135484501914497,0.0701610727196808,0.0166957233673889,0.21292132796641,0.529027651129965,0.910833676672979,0,-0.46635453276416,3.42354676862221,1.44959739234621,0.00663285323392804,0.0941362310441847,0,1.7422576413552,0,"CV_done",TRUE,1011,TRUE
1000,"nig_indep",160,TRUE,481,0.0266839643682897,0.0781850868009898,0.0155106227910295,0.189862018423083,0.359192673165239,1.05025726850352,0,-0.313581373590077,3.85435347689778,1.33190348728442,0.00658474533081074,0.0948725889989016,0,8.72298286338647,0,"CV_done",TRUE,1600,TRUE
1000,"nig_indep",161,TRUE,416,0.00943821397459296,-0.0278915855648856,0.0107980564213548,0.159748908859484,0.0730606719414073,1.08545133814576,0,-0.053060416753116,0.386312057125554,1.21818364372736,0.00611841205569924,0.0918888963445045,0,3.47768183977516,0,"CV_done",TRUE,1718,FALSE
1000,"nig_indep",162,TRUE,313,0.00384151100255013,0.184368670390402,0.00960699117398326,0.125661018682833,0.084251720635321,0.98043269706125,0,-0.29391166386741,0.961508721534105,1.03749964381623,0.00451357135164889,0.0912489011965718,0,3.70755753556335,0,"CV_done",TRUE,1328,FALSE
1000,"nig_indep",163,TRUE,295,0.00599942988851106,0.187907754928671,0.00775261892194492,0.119826379667702,0.226052504282602,0.578499429664649,0,-0.359416703456016,1.06612292480627,0.629628259229512,0.00298396930307396,0.0820497553317065,0,1.41468298722472,0,"CV_done",TRUE,1375,TRUE
1000,"nig_indep",164,TRUE,313,0.107762111279083,-0.011524690320975,0.00593776628962689,0.129201756345598,0.709792633963297,1.33336650949743,0,-0.718101240828158,1.38822683928437,1.17758204215913,0.00251383034686708,0.068723567381161,0,11.0870223422845,0,"CV_done",TRUE,1410,TRUE
1000,"nig_indep",165,TRUE,435,0.429661071363163,0.248523202079807,0.00506454837612062,0.116880853690003,0.863698620850919,1.27193303481752,0,-0.599622228720261,1.02198093719058,1.17083887906951,0.00257998647670583,0.0698858296863661,0,3.49037574750682,0,"CV_done",TRUE,1468,FALSE
1000,"nig_indep",166,TRUE,369,0.199281634489461,0.142462753621105,0.0105737720260255,0.119485326680042,0.609935473309869,0.91925783897317,0,-0.729944762888008,5.7400764889374,1.07088838385063,0.0022567813096626,0.0759630277258916,0,1.73585065609879,0,"CV_done",TRUE,1512,TRUE
1000,"nig_indep",167,TRUE,327,0.0578043596923557,0.0862900460761446,0.00766010351237646,0.131449879383195,0.26564243498727,1.01208493662517,0,-0.699554270868559,0.620815966734195,0.72815237449979,0.00286214513440899,0.0845194605427431,0,1.84530809773339,0,"CV_done",TRUE,1610,TRUE
1000,"nig_indep",168,TRUE,356,0.0862613047876264,0.0434576291728943,0.00673413589575798,0.137521672393865,0.292060371438099,0.881648722162163,0,-0.627625638648308,1.57120347151233,1.44977638711708,0.00263765142589885,0.0815821995687622,0,3.46105624345442,0,"CV_done",TRUE,1465,FALSE
1000,"nig_indep",169,TRUE,245,-0.0362567356091441,0.175486855381394,0.00594355127013417,0.125376525747769,1.17803419494808,1.22653002237096,0,-0.596625101250364,1.98389229900464,1.85478044055822,0.00198680779000556,0.081089407621487,0,5.75311175386111,0,"CV_done",TRUE,1220,TRUE
1000,"nig_indep",170,TRUE,260,0.0843992065924988,0.199185161479469,0.00632543796017252,0.0922495000981324,0.959279790848787,1.10410627806528,0,-0.529528445375477,3.04957232219732,0.791876543941149,0.00213915798200419,0.0858418493640748,0,19.4789281904035,0,"CV_done",TRUE,1173,TRUE
1000,"nig_indep",171,TRUE,345,0.0924353480972466,0.538124047702343,0.00543440962573782,0.0957468282438381,1.1827051690755,1.61602381819951,0,-0.583715257441376,0.923090392534307,1.08541407466927,0.00198234118886978,0.0803958884860249,0,3.47569350376173,0,"CV_done",TRUE,1227,FALSE
1000,"nig_indep",172,TRUE,379,0.0157885571440215,0.681886474833305,0.00535930470277515,0.108671482789734,0.68282508496984,1.52152381409542,0,-0.470968253410971,2.11862960632026,1.88476275044919,0.00170563792876781,0.0779897290340364,0,4.76589212093088,0,"CV_done",TRUE,1324,TRUE
1000,"nig_indep",173,TRUE,366,-0.0356271344206803,0.658895884515262,0.007172068624595,0.148636931833573,0.266002262258578,1.37996325139612,0,-0.768257170753291,0.462381649003795,3.6360622407952,0.00221194114395712,0.0754148284305426,0,6.52261045681106,0,"CV_done",TRUE,1140,TRUE
1000,"nig_indep",174,TRUE,143,-0.0256239242156052,0.248782633166041,0.016106683662102,0.132181993300156,0.0711912622185569,1.28740162230537,0,-0.255658597191712,0.790434739555286,1.91279858396177,0.00303486339994715,0.0806148062638744,0,5.46471305204762,0,"CV_done",TRUE,838,TRUE
1000,"nig_indep",175,TRUE,134,-0.0753962534916473,0.333159816720534,0.029172113368028,0.183188292436201,0.661194273119208,1.19412472467959,0,-0.449486038074511,0.862784033519196,2.17456368050474,0.00469630292666722,0.0782697567872713,0,2.08739308714867,0,"CV_done",TRUE,499,TRUE
1000,"nig_indep",177,TRUE,175,-0.113594224804072,0.117791118183303,0.0433940274292465,0.128660224297258,0.685909521689701,0.566438096470141,0,0.537419794782426,1.7605300429715,1.38121939878711,0.0171753260929021,0.0588939613738775,0,1.75560189942519,0,"CV_done",TRUE,643,TRUE
1000,"nig_indep",178,TRUE,256,-0.0086409962365755,0.163083495318564,0.0366133127145702,0.111635210781688,0.693511695504887,0.84834519200228,0,0.585251998293059,1.76534435619551,1.85947460223019,0.0126494322606623,0.0377021373440484,0,1.82052786896902,0,"CV_done",TRUE,971,TRUE
1000,"nig_indep",179,TRUE,262,0.181865432894201,0.255417027563569,0.0270621629410232,0.0881394132597353,1.23367531991488,0.973472805278299,0,0.348259391702249,1.67197651693673,1.26477125234221,0.0107193763956058,0.04528160701253,0,3.48569338323341,0,"CV_done",TRUE,1290,FALSE
